sno sname sex cls collage grade major
20190000037 隆文耀 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000038 蓬浩荡 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000039 乌玉山 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000040 符俊发 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000041 石文轩 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000042 廖修平 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000043 利嘉誉 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000044 朱博学 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000045 贾向荣 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000046 常奇玮 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000047 孙凯乐 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000048 燕天纵 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000049 蒋依楠 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000050 叶七微 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000051 曹雨莹 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000052 苏瑾琳 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000053 贺娇洁 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000054 钟和璧 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000055 邓冠芳 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000056 程晶燕 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000057 吕玲丽 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000058 贾情文 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000059 赵高洁 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000060 段彦珺 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000061 孙仪芳 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000062 郭惠娅 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000063 袁天恩 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000064 武瑜璟 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000065 尹夏尔 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000066 潘虹颖 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000067 戴亚玲 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000068 贾米琪 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000069 谭清润 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000070 汪白筠 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000071 丁余馥 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000072 邹依霜 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000073 石湘灵 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000074 邱虹颖 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000075 苏米琪 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000076 段芷蝶 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000077 陈敏丽 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000078 钱水瑶 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000079 侯纯洁 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000080 黄曼云 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000081 陆海云 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000082 王玉华 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000083 江湛英 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000084 马冷菱 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000085 田芷茹 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000086 白从灵 女 2019智能系统2班 人工智能学院 2019 智能系统
20190000087 闻建元 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000088 鱼乐心 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000089 红星纬 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000090 陆开诚 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000091 于光临 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000092 薛温茂 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000093 何永望 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000094 劳阳飇 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000095 满浩瀚 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000096 杜凯凯 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000097 车奇迈 男 2019智能系统2班 人工智能学院 2019 智能系统
20190000098 吕玲丽 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000099 贾情文 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000100 赵高洁 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000101 段彦珺 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000102 孙仪芳 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000103 郭惠娅 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000104 袁天恩 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000105 武瑜璟 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000106 尹夏尔 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000107 潘虹颖 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000108 戴亚玲 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000109 贾米琪 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000110 谭清润 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000111 汪白筠 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000112 丁余馥 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000113 邹依霜 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000114 石湘灵 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000115 邱虹颖 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000116 苏米琪 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000117 段芷蝶 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000118 陈敏丽 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000119 钱水瑶 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000120 侯纯洁 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000121 黄曼云 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000122 陆海云 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000123 王玉华 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000124 江湛英 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000125 马冷菱 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000126 田芷茹 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000127 白从灵 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000128 汪颀秀 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000129 郭惠琴 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000130 孙梦香 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000131 杜曼安 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000132 黄蕙芸 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000133 邹亦旋 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000134 郭梦桃 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000135 吴雅芙 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000136 潘皎洁 女 2019智能系统3班 人工智能学院 2019 智能系统
20190000137 廖修平 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000138 利嘉誉 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000139 朱博学 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000140 贾向荣 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000141 常奇玮 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000142 孙凯乐 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000143 燕天纵 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000144 闻建元 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000145 鱼乐心 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000146 红星纬 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000147 陆开诚 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000148 于光临 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000149 薛温茂 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000150 何永望 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000151 劳阳飇 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000152 满浩瀚 男 2019智能系统3班 人工智能学院 2019 智能系统
20190000153 贾情文 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000154 赵高洁 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000155 段彦珺 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000156 孙仪芳 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000157 郭惠娅 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000158 袁天恩 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000159 武瑜璟 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000160 尹夏尔 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000161 潘虹颖 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000162 戴亚玲 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000163 贾米琪 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000164 谭清润 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000165 汪白筠 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000166 丁余馥 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000167 邹依霜 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000168 石湘灵 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000169 邱虹颖 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000170 苏米琪 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000171 段芷蝶 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000172 陈敏丽 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000173 钱水瑶 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000174 侯纯洁 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000175 黄曼云 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000176 陆海云 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000177 王玉华 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000178 江湛英 女 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000179 孙凯乐 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000180 燕天纵 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000181 闻建元 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000182 鱼乐心 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000183 红星纬 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000184 陆开诚 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000185 于光临 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000186 薛温茂 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000187 何永望 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000188 劳阳飇 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000189 满浩瀚 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000190 杜凯凯 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000191 车奇迈 男 2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
20190000192 秦淑贞 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000193 龙欣然 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000194 卢语海 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000195 毛盼柳 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000196 蒋依楠 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000197 叶七微 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000198 曹雨莹 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000199 苏瑾琳 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000200 贺娇洁 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000201 钟和璧 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000202 邓冠芳 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000203 程晶燕 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000204 吕玲丽 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000205 贾情文 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000206 赵高洁 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000207 段彦珺 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000208 孙仪芳 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000209 郭惠娅 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000210 袁天恩 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000211 武瑜璟 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000212 尹夏尔 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000213 潘虹颖 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000214 戴亚玲 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000215 贾米琪 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000216 谭清润 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000217 汪白筠 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000218 丁余馥 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000219 邹依霜 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000220 石湘灵 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000221 邱虹颖 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000222 苏米琪 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000223 段芷蝶 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000224 陈敏丽 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000225 钱水瑶 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000226 侯纯洁 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000227 黄曼云 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000228 陆海云 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000229 王玉华 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000230 江湛英 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000231 马冷菱 女 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000232 朱博学 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000233 贾向荣 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000234 常奇玮 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000235 孙凯乐 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000236 燕天纵 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000237 闻建元 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000238 鱼乐心 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000239 红星纬 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000240 陆开诚 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000241 于光临 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000242 薛温茂 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000243 何永望 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000244 劳阳飇 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000245 满浩瀚 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000246 杜凯凯 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000247 车奇迈 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000248 赖茂典 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000249 乜皓轩 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000250 薛经武 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000251 濮文滨 男 2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
20190000252 赵高洁 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000253 段彦珺 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000254 孙仪芳 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000255 郭惠娅 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000256 袁天恩 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000257 武瑜璟 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000258 尹夏尔 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000259 潘虹颖 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000260 戴亚玲 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000261 贾米琪 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000262 谭清润 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000263 汪白筠 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000264 丁余馥 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000265 邹依霜 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000266 石湘灵 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000267 邱虹颖 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000268 苏米琪 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000269 段芷蝶 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000270 陈敏丽 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000271 钱水瑶 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000272 侯纯洁 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000273 黄曼云 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000274 陆海云 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000275 王玉华 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000276 江湛英 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000277 马冷菱 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000278 田芷茹 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000279 白从灵 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000280 汪颀秀 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000281 郭惠琴 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000282 孙梦香 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000283 杜曼安 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000284 黄蕙芸 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000285 邹亦旋 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000286 郭梦桃 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000287 吴雅芙 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000288 潘皎洁 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000289 邱乐丹 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000290 文蕴秀 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000291 叶雪儿 女 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000292 红星纬 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000293 陆开诚 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000294 于光临 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000295 薛温茂 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000296 何永望 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000297 劳阳飇 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000298 满浩瀚 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000299 杜凯凯 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000300 车奇迈 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000301 赖茂典 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000302 乜皓轩 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000303 薛经武 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000304 濮文滨 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000305 巴同和 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000306 广宏儒 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000307 谢安宁 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000308 居嘉祥 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000309 高建华 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000310 金鸿宝 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000311 索德寿 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000312 班良哲 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000313 逢毅然 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000314 郜成弘 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000315 邴飞雨 男 2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
20190000316 赵高洁 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000317 段彦珺 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000318 孙仪芳 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000319 郭惠娅 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000320 袁天恩 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000321 武瑜璟 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000322 尹夏尔 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000323 潘虹颖 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000324 戴亚玲 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000325 贾米琪 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000326 谭清润 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000327 汪白筠 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000328 丁余馥 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000329 邹依霜 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
20190000330 石湘灵 女 2019深度学习应用1班 人工智能学院 2019 深度学习应用
