tno tname collage title leadclass sex
55000040 孙建华 美术与设计学院 教授 2022油画学3班 男
55000041 邓和悌 美术与设计学院 讲师 2022油画学2班 男
55000042 史小芬 美术与设计学院 讲师 2022油画学1班 女
55000043 白鸣晨 美术与设计学院 教授 2022服装设计3班 女
55000044 廖宵月 美术与设计学院 讲师 2022服装设计2班 女
55000045 潘倩语 美术与设计学院 副教授 2022服装设计1班 女
55000046 孙琳瑜 美术与设计学院 教授 2022平面设计艺术3班 女
55000047 杜伟泽 美术与设计学院 副教授 2022平面设计艺术2班 男
55000048 钟和悌 美术与设计学院 讲师 2022平面设计艺术1班 男
55000049 郭天骄 美术与设计学院 讲师 2022国画3班 男
55000050 赵乐圣 美术与设计学院 讲师 2022国画2班 男
55000051 阎睿好 美术与设计学院 副教授 2022国画1班 男
55000052 曹傲芙 电子电气工程学院 教授 2022自动化控制工程3班 女
55000053 钱悦驰 电子电气工程学院 教授 2022自动化控制工程2班 女
55000054 金梦雨 电子电气工程学院 教授 2022自动化控制工程1班 女
55000055 周安蕾 电子电气工程学院 副教授 2022电气工程3班 女
55000056 许婧妍 电子电气工程学院 教授 2022电气工程2班 女
55000057 范芝兰 电子电气工程学院 副教授 2022电气工程1班 女
55000058 苏同济 生物与纳米科学学院 讲师 2022纳米科学3班 男
55000059 钟浦泽 生物与纳米科学学院 教授 2022纳米科学2班 男
55000060 彭宏富 生物与纳米科学学院 教授 2022纳米科学1班 男
55000061 汪芳润 生物与纳米科学学院 讲师 2022生物科学3班 女
55000062 崔巧玲 生物与纳米科学学院 副教授 2022生物科学2班 女
55000063 韩妙芙 生物与纳米科学学院 副教授 2022生物科学1班 女
55000064 蒋若蕊 物理科学学院 副教授 2022应用物理3班 女
55000065 康新美 物理科学学院 讲师 2022应用物理2班 女
55000066 沈纯洁 物理科学学院 副教授 2022应用物理1班 女
55000067 姚自明 物理科学学院 讲师 2022基础物理3班 男
55000068 萧兴腾 物理科学学院 讲师 2022基础物理2班 男
55000069 侯斯年 物理科学学院 副教授 2022基础物理1班 男
55000070 田康乐 数学与统计学院 副教授 2022管理与统计3班 男
55000071 邓梦琪 数学与统计学院 副教授 2022管理与统计2班 女
55000072 郝初柳 数学与统计学院 副教授 2022管理与统计1班 女
55000073 贾听南 数学与统计学院 副教授 2022应用数学3班 女
55000074 赵正妍 数学与统计学院 教授 2022应用数学2班 女
55000075 何平蝶 数学与统计学院 副教授 2022应用数学1班 女
55000076 周书意 数学与统计学院 讲师 2022基础数学3班 女
55000077 白玉堂 数学与统计学院 讲师 2022基础数学2班 男
55000078 蔡彭魄 数学与统计学院 教授 2022基础数学1班 男
55000079 卢才哲 化学化工学院 讲师 2022应用化学3班 男
55000080 袁浩渺 化学化工学院 教授 2022应用化学2班 男
55000081 汤和悦 化学化工学院 讲师 2022应用化学1班 女
55000082 王寄凡 化学化工学院 副教授 2022基础化学3班 女
55000083 徐映之 化学化工学院 副教授 2022基础化学2班 女
55000084 沈瑶华 化学化工学院 副教授 2022基础化学1班 女
55000085 史欣玉 体育科学学院 副教授 2022运动康复3班 女
55000086 贺友珊 体育科学学院 讲师 2022运动康复2班 女
55000087 文修诚 体育科学学院 讲师 2022运动康复1班 男
55000088 郭华翰 体育科学学院 讲师 2022篮球专项3班 男
55000089 周恨云 体育科学学院 教授 2022篮球专项2班 女
55000090 武闲静 体育科学学院 讲师 2022篮球专项1班 女
55000091 孟含海 体育科学学院 副教授 2022水下运动专项3班 女
55000092 易梓璐 体育科学学院 副教授 2022水下运动专项2班 女
55000093 孟尔岚 体育科学学院 副教授 2022水下运动专项1班 女
55000094 彭同甫 体育科学学院 副教授 2022健身体育3班 男
55000095 郑宏博 体育科学学院 讲师 2022健身体育2班 男
55000096 徐康宁 体育科学学院 教授 2022健身体育1班 男
55000097 邱嫣然 体育科学学院 讲师 2022体育教育3班 女
55000098 林仙韵 体育科学学院 教授 2022体育教育2班 女
55000099 薛暖梦 体育科学学院 副教授 2022体育教育1班 女
55000100 叶千凡 体育科学学院 讲师 2022人体科学3班 女
55000101 邓宜民 体育科学学院 教授 2022人体科学2班 男
55000102 周蕴和 体育科学学院 讲师 2022人体科学1班 男
55000103 郭正真 人工智能学院 教授 2022计算机视觉3班 男
55000104 朱国兴 人工智能学院 讲师 2022计算机视觉2班 男
55000105 胡友梅 人工智能学院 教授 2022计算机视觉1班 女
55000106 邹小雯 人工智能学院 讲师 2022自动驾驶技术3班 女
55000107 邵千束 人工智能学院 教授 2022自动驾驶技术2班 女
55000108 段修文 人工智能学院 讲师 2022自动驾驶技术1班 男
55000109 金志尚 人工智能学院 教授 2022深度学习应用3班 男
55000110 苏波峻 人工智能学院 副教授 2022深度学习应用2班 男
55000111 董映易 人工智能学院 教授 2022深度学习应用1班 女
55000112 蒋新语 人工智能学院 讲师 2022机器学习与模式识别3班 女
55000113 任桃粉 人工智能学院 副教授 2022机器学习与模式识别2班 女
55000114 李惜儿 人工智能学院 教授 2022机器学习与模式识别1班 女
55000115 阎菲菲 人工智能学院 副教授 2022智能系统3班 女
55000116 戴浩瀚 人工智能学院 讲师 2022智能系统2班 男
55000117 韩正卿 人工智能学院 副教授 2022智能系统1班 男
55000118 顾永长 音乐与舞蹈学院 副教授 2021音乐教育3班 男
55000119 钟柔静 音乐与舞蹈学院 副教授 2021音乐教育2班 女
55000120 金洋然 音乐与舞蹈学院 教授 2021音乐教育1班 女
55000121 张梅雪 音乐与舞蹈学院 教授 2021钢琴艺术3班 女
55000122 杜丹烟 音乐与舞蹈学院 教授 2021钢琴艺术2班 女
55000123 蒋刚毅 音乐与舞蹈学院 教授 2021钢琴艺术1班 男
55000124 夏兴言 音乐与舞蹈学院 教授 2021舞蹈艺术3班 男
55000125 林悦和 音乐与舞蹈学院 教授 2021舞蹈艺术2班 女
55000126 孔笑笑 音乐与舞蹈学院 讲师 2021舞蹈艺术1班 女
55000127 谢倩成 音乐与舞蹈学院 教授 2021舞蹈教育3班 女
55000128 钱可可 音乐与舞蹈学院 副教授 2021舞蹈教育2班 女
55000129 郝梦月 音乐与舞蹈学院 教授 2021舞蹈教育1班 女
55000130 文新芳 音乐与舞蹈学院 教授 2021歌唱学3班 女
55000131 姚修洁 音乐与舞蹈学院 教授 2021歌唱学2班 男
55000132 孟乐逸 音乐与舞蹈学院 教授 2021歌唱学1班 男
55000133 萧涵润 音乐与舞蹈学院 教授 2021体操学3班 男
55000134 段力夫 音乐与舞蹈学院 教授 2021体操学2班 男
55000135 田思洁 音乐与舞蹈学院 教授 2021体操学1班 女
55000136 崔梓云 计算机科学与技术学院 副教授 2021软件工程3班 女
55000137 蔡颖初 计算机科学与技术学院 讲师 2021软件工程2班 女
55000138 龙慕凝 计算机科学与技术学院 讲师 2021软件工程1班 女
55000139 于圣杰 计算机科学与技术学院 讲师 2021计算机科学与技术3班 男
55000140 宋刚洁 计算机科学与技术学院 副教授 2021计算机科学与技术2班 男
55000141 夏锐藻 计算机科学与技术学院 教授 2021计算机科学与技术1班 男
55000142 傅成礼 计算机科学与技术学院 副教授 2021大数据分析应用3班 男
55000143 吕未步 计算机科学与技术学院 教授 2021大数据分析应用2班 女
55000144 万青香 计算机科学与技术学院 讲师 2021大数据分析应用1班 女
55000145 史桃粉 计算机科学与技术学院 教授 2021人工智能3班 女
55000146 侯高芬 计算机科学与技术学院 副教授 2021人工智能2班 男
55000147 卢弘文 计算机科学与技术学院 教授 2021人工智能1班 男
55000148 石飞鸣 航空航天工程学院 教授 2021飞行器设计3班 男
55000149 石晋鹏 航空航天工程学院 副教授 2021飞行器设计2班 男
55000150 唐书仪 航空航天工程学院 教授 2021飞行器设计1班 女
55000151 金嘉颖 航空航天工程学院 教授 2021飞行器智能运控3班 女
55000152 陆河灵 航空航天工程学院 讲师 2021飞行器智能运控2班 女
55000153 姜理群 航空航天工程学院 讲师 2021飞行器智能运控1班 男
55000154 张浩思 航空航天工程学院 教授 2021发动机制造3班 男
55000155 郝飞英 航空航天工程学院 教授 2021发动机制造2班 男
55000156 贾飞翼 航空航天工程学院 教授 2021发动机制造1班 男
55000157 张学名 美术与设计学院 讲师 2021油画学3班 男
55000158 卢妙珍 美术与设计学院 讲师 2021油画学2班 女
55000159 朱梦凡 美术与设计学院 教授 2021油画学1班 女
55000160 苏月天 美术与设计学院 教授 2021服装设计3班 女
55000161 孔阳夏 美术与设计学院 讲师 2021服装设计2班 男
55000162 汤文彬 美术与设计学院 讲师 2021服装设计1班 男
55000163 高斯年 美术与设计学院 副教授 2021平面设计艺术3班 男
55000164 马致欣 美术与设计学院 副教授 2021平面设计艺术2班 女
55000165 郝丹珍 美术与设计学院 教授 2021平面设计艺术1班 女
55000166 邹霞绮 美术与设计学院 讲师 2021国画3班 女
55000167 朱尔槐 美术与设计学院 副教授 2021国画2班 女
55000168 常蝶梦 美术与设计学院 讲师 2021国画1班 女
55000169 吴志泽 电子电气工程学院 教授 2021自动化控制工程3班 男
55000170 胡和宜 电子电气工程学院 教授 2021自动化控制工程2班 男
55000171 邹贤淑 电子电气工程学院 副教授 2021自动化控制工程1班 女
55000172 胡雁兰 电子电气工程学院 讲师 2021电气工程3班 女
55000173 苏燕芷 电子电气工程学院 讲师 2021电气工程2班 女
55000174 段芳春 电子电气工程学院 副教授 2021电气工程1班 女
55000175 任玉树 生物与纳米科学学院 教授 2021纳米科学3班 男
55000176 赵良骏 生物与纳米科学学院 讲师 2021纳米科学2班 男
55000177 汪兴思 生物与纳米科学学院 讲师 2021纳米科学1班 男
55000178 王作人 生物与纳米科学学院 讲师 2021生物科学3班 男
55000179 傅丽雅 生物与纳米科学学院 讲师 2021生物科学2班 女
55000180 彭柔谨 生物与纳米科学学院 教授 2021生物科学1班 女
55000181 乔婧宁 物理科学学院 教授 2021应用物理3班 女
55000182 郝布衣 物理科学学院 副教授 2021应用物理2班 女
55000183 段天纵 物理科学学院 讲师 2021应用物理1班 男
55000184 郑明珠 物理科学学院 副教授 2021基础物理3班 男
55000185 袁奇正 物理科学学院 副教授 2021基础物理2班 男
55000186 段敏学 物理科学学院 副教授 2021基础物理1班 男
55000187 段访枫 数学与统计学院 讲师 2021管理与统计3班 女
55000188 高云琼 数学与统计学院 副教授 2021管理与统计2班 女
55000189 邱熙柔 数学与统计学院 讲师 2021管理与统计1班 女
55000190 邓夜山 数学与统计学院 教授 2021应用数学3班 女
55000191 段霏霏 数学与统计学院 讲师 2021应用数学2班 女
55000192 冯清霁 数学与统计学院 教授 2021应用数学1班 女
55000193 宋嘉年 数学与统计学院 副教授 2021基础数学3班 男
55000194 朱翰墨 数学与统计学院 讲师 2021基础数学2班 男
55000195 万飞宇 数学与统计学院 副教授 2021基础数学1班 男
55000196 赵高旻 化学化工学院 讲师 2021应用化学3班 男
55000197 邹言心 化学化工学院 副教授 2021应用化学2班 女
55000198 邓爰爰 化学化工学院 讲师 2021应用化学1班 女
55000199 宋娴淑 化学化工学院 教授 2021基础化学3班 女
55000200 朱文彦 化学化工学院 副教授 2021基础化学2班 男
55000201 秦嘉慕 化学化工学院 讲师 2021基础化学1班 男
55000202 常庄雅 体育科学学院 教授 2021运动康复3班 女
55000203 白千青 体育科学学院 副教授 2021运动康复2班 女
55000204 萧新晴 体育科学学院 讲师 2021运动康复1班 女
55000205 蒋芮欢 体育科学学院 副教授 2021篮球专项3班 女
55000206 叶欣欣 体育科学学院 教授 2021篮球专项2班 女
55000207 谢兴邦 体育科学学院 讲师 2021篮球专项1班 男
55000208 刘欣可 体育科学学院 教授 2021水下运动专项3班 男
55000209 姜茂材 体育科学学院 副教授 2021水下运动专项2班 男
55000210 潘光济 体育科学学院 讲师 2021水下运动专项1班 男
55000211 孔嘉泽 体育科学学院 讲师 2021健身体育3班 男
55000212 冯洛凝 体育科学学院 副教授 2021健身体育2班 女
55000213 徐薇歌 体育科学学院 讲师 2021健身体育1班 女
55000214 邱国萍 体育科学学院 教授 2021体育教育3班 女
55000215 何皓洁 体育科学学院 教授 2021体育教育2班 女
55000216 史瑜璟 体育科学学院 讲师 2021体育教育1班 女
55000217 胡靖雁 体育科学学院 副教授 2021人体科学3班 女
55000218 郭勇捷 体育科学学院 副教授 2021人体科学2班 男
55000219 金刚捷 体育科学学院 副教授 2021人体科学1班 男
55000220 郑阳飙 人工智能学院 讲师 2021计算机视觉3班 男
55000221 邹子默 人工智能学院 讲师 2021计算机视觉2班 男
55000222 蒋娅童 人工智能学院 副教授 2021计算机视觉1班 女
55000223 萧优美 人工智能学院 副教授 2021自动驾驶技术3班 女
55000224 段妙妙 人工智能学院 教授 2021自动驾驶技术2班 女
55000225 杨惠玲 人工智能学院 讲师 2021自动驾驶技术1班 女
55000226 叶艳蕙 人工智能学院 教授 2021深度学习应用3班 女
55000227 王尤文 人工智能学院 讲师 2021深度学习应用2班 女
55000228 易嘉胜 人工智能学院 讲师 2021深度学习应用1班 男
55000229 邹子墨 人工智能学院 教授 2021机器学习与模式识别3班 男
55000230 傅嘉懿 人工智能学院 讲师 2021机器学习与模式识别2班 女
55000231 谢云梦 人工智能学院 副教授 2021机器学习与模式识别1班 女
55000232 杜曼丽 人工智能学院 讲师 2021智能系统3班 女
55000233 潘秋彤 人工智能学院 教授 2021智能系统2班 女
55000234 林水卉 人工智能学院 教授 2021智能系统1班 女
55000235 于冷雁 音乐与舞蹈学院 副教授 2020音乐教育3班 女
55000236 郭宏富 音乐与舞蹈学院 副教授 2020音乐教育2班 男
55000237 姚兴思 音乐与舞蹈学院 教授 2020音乐教育1班 男
55000238 于学义 音乐与舞蹈学院 副教授 2020钢琴艺术3班 男
55000239 邹高明 音乐与舞蹈学院 讲师 2020钢琴艺术2班 男
55000240 吕英彦 音乐与舞蹈学院 讲师 2020钢琴艺术1班 男
55000241 秦妙可 音乐与舞蹈学院 讲师 2020舞蹈艺术3班 女
55000242 曹琴音 音乐与舞蹈学院 教授 2020舞蹈艺术2班 女
55000243 孙忆安 音乐与舞蹈学院 讲师 2020舞蹈艺术1班 女
55000244 彭锐利 音乐与舞蹈学院 副教授 2020舞蹈教育3班 男
55000245 漕高翰 音乐与舞蹈学院 教授 2020舞蹈教育2班 男
55000246 段桑朵 音乐与舞蹈学院 讲师 2020舞蹈教育1班 女
55000247 顾忆秋 音乐与舞蹈学院 副教授 2020歌唱学3班 女
55000248 侯元英 音乐与舞蹈学院 讲师 2020歌唱学2班 女
55000249 吕逸仙 音乐与舞蹈学院 讲师 2020歌唱学1班 男
55000250 傅浩波 音乐与舞蹈学院 讲师 2020体操学3班 男
55000251 蔡乐游 音乐与舞蹈学院 教授 2020体操学2班 男
55000252 田锐立 音乐与舞蹈学院 教授 2020体操学1班 男
55000253 侯和志 计算机科学与技术学院 教授 2020软件工程3班 男
55000254 赵寻真 计算机科学与技术学院 讲师 2020软件工程2班 女
55000255 侯子悦 计算机科学与技术学院 副教授 2020软件工程1班 女
55000256 邱安琪 计算机科学与技术学院 副教授 2020计算机科学与技术3班 女
55000257 石彤彤 计算机科学与技术学院 教授 2020计算机科学与技术2班 女
55000258 马腊梅 计算机科学与技术学院 副教授 2020计算机科学与技术1班 女
55000259 范博超 计算机科学与技术学院 讲师 2020大数据分析应用3班 男
55000260 廖弘阔 计算机科学与技术学院 讲师 2020大数据分析应用2班 男
55000261 董翰音 计算机科学与技术学院 讲师 2020大数据分析应用1班 男
55000262 李甄梨 计算机科学与技术学院 教授 2020人工智能3班 女
55000263 文雁荷 计算机科学与技术学院 副教授 2020人工智能2班 女
55000264 贾映萱 计算机科学与技术学院 教授 2020人工智能1班 女
55000265 江泯熙 航空航天工程学院 副教授 2020飞行器设计3班 女
55000266 邵鹏鲸 航空航天工程学院 讲师 2020飞行器设计2班 男
55000267 陆修杰 航空航天工程学院 副教授 2020飞行器设计1班 男
55000268 于子默 航空航天工程学院 讲师 2020飞行器智能运控3班 男
55000269 孟宏扬 航空航天工程学院 教授 2020飞行器智能运控2班 男
55000270 张子琪 航空航天工程学院 副教授 2020飞行器智能运控1班 男
55000271 袁问儿 航空航天工程学院 副教授 2020发动机制造3班 女
55000272 曾思茵 航空航天工程学院 讲师 2020发动机制造2班 女
55000273 魏灵萱 航空航天工程学院 副教授 2020发动机制造1班 女
55000274 秦美怡 美术与设计学院 教授 2020油画学3班 女
55000275 顾盼丹 美术与设计学院 教授 2020油画学2班 女
55000276 张苑杰 美术与设计学院 讲师 2020油画学1班 男
55000277 孔建柏 美术与设计学院 教授 2020服装设计3班 男
55000278 林睿聪 美术与设计学院 讲师 2020服装设计2班 男
55000279 汪烨赫 美术与设计学院 副教授 2020服装设计1班 男
55000280 江华晖 美术与设计学院 教授 2020平面设计艺术3班 男
55000281 赖冰彦 美术与设计学院 讲师 2020平面设计艺术2班 女
55000282 曾莉颖 美术与设计学院 讲师 2020平面设计艺术1班 女
55000283 蔡觅夏 美术与设计学院 讲师 2020国画3班 女
55000284 夏嘉懿 美术与设计学院 教授 2020国画2班 女
55000285 段由希 美术与设计学院 教授 2020国画1班 女
55000286 杨萌运 电子电气工程学院 教授 2020自动化控制工程3班 女
55000287 田天睿 电子电气工程学院 讲师 2020自动化控制工程2班 男
55000288 孟意智 电子电气工程学院 副教授 2020自动化控制工程1班 男
55000289 谭泰河 电子电气工程学院 副教授 2020电气工程3班 男
55000290 徐志行 电子电气工程学院 教授 2020电气工程2班 男
55000291 姚梅花 电子电气工程学院 讲师 2020电气工程1班 女
55000292 于萦怀 生物与纳米科学学院 讲师 2020纳米科学3班 女
55000293 罗亦玉 生物与纳米科学学院 教授 2020纳米科学2班 女
55000294 唐涵煦 生物与纳米科学学院 讲师 2020纳米科学1班 男
55000295 朱力夫 生物与纳米科学学院 副教授 2020生物科学3班 男
55000296 文玉泽 生物与纳米科学学院 教授 2020生物科学2班 男
55000297 宋琬琰 生物与纳米科学学院 教授 2020生物科学1班 女
55000298 陆桃尐 物理科学学院 讲师 2020应用物理3班 女
55000299 杜灵波 物理科学学院 副教授 2020应用物理2班 女
55000300 韩雁凡 物理科学学院 讲师 2020应用物理1班 女
55000301 曹子实 物理科学学院 副教授 2020基础物理3班 男
55000302 石文栋 物理科学学院 副教授 2020基础物理2班 男
55000303 丁芮静 物理科学学院 教授 2020基础物理1班 女
55000304 郑婉婷 数学与统计学院 副教授 2020管理与统计3班 女
55000305 熊诗双 数学与统计学院 副教授 2020管理与统计2班 女
55000306 段琬凝 数学与统计学院 副教授 2020管理与统计1班 女
55000307 罗子薇 数学与统计学院 讲师 2020应用数学3班 女
55000308 万华藏 数学与统计学院 副教授 2020应用数学2班 男
55000309 于思源 数学与统计学院 副教授 2020应用数学1班 男
55000310 黎正浩 数学与统计学院 讲师 2020基础数学3班 男
55000311 沈高兴 数学与统计学院 教授 2020基础数学2班 男
55000312 龙月华 数学与统计学院 副教授 2020基础数学1班 女
55000313 谭梓萱 化学化工学院 教授 2020应用化学3班 女
55000314 谭秀竹 化学化工学院 讲师 2020应用化学2班 女
55000315 方立轩 化学化工学院 教授 2020应用化学1班 男
55000316 廖凯凯 化学化工学院 讲师 2020基础化学3班 男
55000317 李浩初 化学化工学院 讲师 2020基础化学2班 男
55000318 彭兴发 化学化工学院 教授 2020基础化学1班 男
55000319 林俊雅 体育科学学院 讲师 2020运动康复3班 男
55000320 苏海雪 体育科学学院 教授 2020运动康复2班 女
55000321 金问旋 体育科学学院 教授 2020运动康复1班 女
55000322 范梓欣 体育科学学院 副教授 2020篮球专项3班 女
55000323 罗凌珍 体育科学学院 讲师 2020篮球专项2班 女
55000324 董一禾 体育科学学院 副教授 2020篮球专项1班 女
55000325 叶绿柳 体育科学学院 讲师 2020水下运动专项3班 女
55000326 金英卫 体育科学学院 教授 2020水下运动专项2班 男
55000327 韩兴言 体育科学学院 讲师 2020水下运动专项1班 男
55000328 于昊穹 体育科学学院 教授 2020健身体育3班 男
55000329 彭锐泽 体育科学学院 讲师 2020健身体育2班 男
55000330 朱俊明 体育科学学院 副教授 2020健身体育1班 男
55000331 孔睿琳 体育科学学院 教授 2020体育教育3班 女
55000332 邵代丝 体育科学学院 讲师 2020体育教育2班 女
55000333 毛蔚星 体育科学学院 副教授 2020体育教育1班 女
55000334 谢明喆 体育科学学院 讲师 2020人体科学3班 男
55000335 马飞白 体育科学学院 教授 2020人体科学2班 男
55000336 冯天宇 体育科学学院 副教授 2020人体科学1班 男
55000337 潘英彦 人工智能学院 副教授 2020计算机视觉3班 男
55000338 毛英毅 人工智能学院 讲师 2020计算机视觉2班 男
55000339 韩丽华 人工智能学院 教授 2020计算机视觉1班 女
55000340 毛惠芳 人工智能学院 讲师 2020自动驾驶技术3班 女
55000341 龙西柠 人工智能学院 副教授 2020自动驾驶技术2班 女
55000342 徐正奇 人工智能学院 讲师 2020自动驾驶技术1班 男
55000343 郝鹏池 人工智能学院 教授 2020深度学习应用3班 男
55000344 范高澹 人工智能学院 教授 2020深度学习应用2班 男
55000345 毛波峻 人工智能学院 讲师 2020深度学习应用1班 男
55000346 尹语风 人工智能学院 讲师 2020机器学习与模式识别3班 女
55000347 萧雍雅 人工智能学院 教授 2020机器学习与模式识别2班 女
55000348 谢听蓉 人工智能学院 讲师 2020机器学习与模式识别1班 女
55000349 范贤琴 人工智能学院 副教授 2020智能系统3班 女
55000350 邵玉轩 人工智能学院 副教授 2020智能系统2班 男
55000351 武俊能 人工智能学院 教授 2020智能系统1班 男
55000352 白兴邦 音乐与舞蹈学院 教授 2019音乐教育3班 男
55000353 傅雪松 音乐与舞蹈学院 讲师 2019音乐教育2班 男
55000354 曹琲瓃 音乐与舞蹈学院 讲师 2019音乐教育1班 女
55000355 戴列琴 音乐与舞蹈学院 教授 2019钢琴艺术3班 女
55000356 汪冷雁 音乐与舞蹈学院 教授 2019钢琴艺术2班 女
55000357 孟文敏 音乐与舞蹈学院 教授 2019钢琴艺术1班 男
55000358 康浦泽 音乐与舞蹈学院 讲师 2019舞蹈艺术3班 男
55000359 范秋月 音乐与舞蹈学院 讲师 2019舞蹈艺术2班 女
55000360 苏皎洁 音乐与舞蹈学院 讲师 2019舞蹈艺术1班 女
55000361 潘雅寒 音乐与舞蹈学院 副教授 2019舞蹈教育3班 女
55000362 姚昊昊 音乐与舞蹈学院 教授 2019舞蹈教育2班 男
55000363 钟经业 音乐与舞蹈学院 讲师 2019舞蹈教育1班 男
55000364 熊幻梅 音乐与舞蹈学院 副教授 2019歌唱学3班 女
55000365 顾天睿 音乐与舞蹈学院 副教授 2019歌唱学2班 女
55000366 黄蕙兰 音乐与舞蹈学院 讲师 2019歌唱学1班 女
55000367 赖元瑶 音乐与舞蹈学院 副教授 2019体操学3班 女
55000368 韩晴波 音乐与舞蹈学院 教授 2019体操学2班 女
55000369 彭嘉胜 音乐与舞蹈学院 讲师 2019体操学1班 男
55000370 魏华茂 计算机科学与技术学院 讲师 2019软件工程3班 男
55000371 杜凝心 计算机科学与技术学院 讲师 2019软件工程2班 女
55000372 冯丁兰 计算机科学与技术学院 讲师 2019软件工程1班 女
55000373 王情文 计算机科学与技术学院 副教授 2019计算机科学与技术3班 女
55000374 乔楠楠 计算机科学与技术学院 教授 2019计算机科学与技术2班 女
55000375 白和煦 计算机科学与技术学院 讲师 2019计算机科学与技术1班 男
55000376 姜伟懋 计算机科学与技术学院 教授 2019大数据分析应用3班 男
55000377 林娜娜 计算机科学与技术学院 讲师 2019大数据分析应用2班 女
55000378 宋尔容 计算机科学与技术学院 讲师 2019大数据分析应用1班 女
55000379 罗竹萱 计算机科学与技术学院 讲师 2019人工智能3班 女
55000380 于梓馨 计算机科学与技术学院 讲师 2019人工智能2班 女
55000381 袁颖初 计算机科学与技术学院 副教授 2019人工智能1班 女
55000382 汤和顺 航空航天工程学院 教授 2019飞行器设计3班 男
55000383 钱俊彦 航空航天工程学院 讲师 2019飞行器设计2班 男
55000384 袁康泰 航空航天工程学院 副教授 2019飞行器设计1班 男
55000385 彭温纶 航空航天工程学院 讲师 2019飞行器智能运控3班 男
55000386 龚含蕾 航空航天工程学院 教授 2019飞行器智能运控2班 女
55000387 夏晓畅 航空航天工程学院 教授 2019飞行器智能运控1班 女
55000388 卢慈心 航空航天工程学院 教授 2019发动机制造3班 女
55000389 贾英华 航空航天工程学院 讲师 2019发动机制造2班 男
55000390 邵雅珺 航空航天工程学院 讲师 2019发动机制造1班 男
55000391 陆嘉运 美术与设计学院 讲师 2019油画学3班 男
55000392 钟正志 美术与设计学院 副教授 2019油画学2班 男
55000393 郝华晖 美术与设计学院 教授 2019油画学1班 男
55000394 汪梓珊 美术与设计学院 副教授 2019服装设计3班 女
55000395 秦西华 美术与设计学院 讲师 2019服装设计2班 女
55000396 董灵松 美术与设计学院 教授 2019服装设计1班 女
55000397 戴晶霞 美术与设计学院 教授 2019平面设计艺术3班 女
55000398 崔友易 美术与设计学院 教授 2019平面设计艺术2班 女
